subject_idx,Cog_score,ECG_score,EMG_score,Eye_score,BPHR_score,Ele_score,Score_score,Psy_score,Shooting_TotalScore_Score,Shooting_Accuracy_Score,Shooting_AvgScore_Score,Task4_BallAndRing_Score,Task4_NumberLine_Score,Task4_Total_Score,Task4_Accuracy_Score,Game5_TotalScore_Score,Game5_LifeSum_Score,Behavior_Score_Factor_PCA,Behavior_Score_Factor_Weighted,Motivation_Factor_Formula,Motivation_Factor_PCA
0,-3.391068649100063,-1.0129868585738182,-1.4855384951352548,2.5629018668360914,-2.046672917048996,1.191095053232061,-2.8415092919431206,-6.342702684958309,1577.0,0.63,28.16,1967.0,378,1917.0,0.62,960,256.0,-2.8415092919431206,-0.9270354615549984,-1.0654816296550325,-1.3380103458858992
1,2.478382412252026,-1.2840899758838091,0.6816727503747525,2.3558004211722574,-0.3013827027633733,0.14612638430711783,2.372013702888202,-3.1698059144763384,3239.0,0.92,39.5,2407.0,500,2907.0,0.8,920,258.0,2.372013702888202,0.8742303387109955,-0.9903595406076741,-1.1627283529128014
2,0.6642252756778109,4.078520624399449,2.7821771647652174,-1.068132115874697,3.954317269072639,-2.1499576987608253,-1.2194648317021226,-4.0500840090682075,1182.0,0.76,17.38,2584.0,190,2774.0,0.71,1324,96.0,-1.2194648317021226,-0.5945192798825384,-0.359333992609864,0.10457059153070615
3,-2.093545919210347,0.8491226496411015,-2.2477746184898835,0.13718571368813612,-2.4574339551071036,0.4814464475450695,-2.3127313556082263,-0.7815621501424972,1491.0,0.83,20.15,1989.0,364,1779.0,0.75,700,99.0,-2.3127313556082263,-0.9142086167781798,0.43696015129213467,-0.7233460553549269
4,1.531090766490015,-2.1513201879923316,-2.4794366033119606,-0.6488590313343311,1.744880429980064,1.0819546848694903,2.155829949642169,0.6021492247777546,1773.0,0.99,21.14,2812.0,350,3162.0,0.76,1320,347.0,2.155829949642169,0.6511271479754623,-1.9669466982233326,-1.7761749681365564
5,1.1237991833202856,-2.105790841920974,-2.0871275876010196,-0.6412188164324925,-1.343870922119782,0.8351230321210446,-0.6734594946403543,-1.7669143577133464,1843.0,0.94,21.94,2302.0,190,2492.0,0.7,1190,294.0,-0.6734594946403543,-0.13935369411819376,0.3618380622447763,-0.7282588968515453
6,0.4546170605675563,-2.7379194076740627,0.6994335774487886,-0.9646542194363896,-0.3765505726687022,-0.9615940237929379,0.9976085131140485,1.38271551019856,1606.4,0.98,41.13,2273.0,440,2713.0,0.75,1070,263.0,0.9976085131140485,0.44121412643390895,0.5872043293868514,0.22396877778819105
7,0.3589684038643324,1.771233748589166,-1.0381167241021678,-1.0323704061459231,-0.27153935275954777,-0.14739574366451053,3.7699668840100173,5.355696017430285,1939.4,0.93,29.1,2916.0,500,3416.0,0.8,1470,384.0,3.7699668840100173,1.1878505964129902,1.0379368636710016,-0.8584389290307743
8,-0.8636682757046976,-1.0162426458708527,2.152655804978108,-0.07095542562183796,2.79548320462854,-0.16828546329921706,-0.17353385725808773,3.824808600150752,2184.0,0.99,24.82,2305.0,270,2575.0,0.72,1070,226.0,-0.17353385725808773,0.027334921804141633,2.239890288428735,1.9180935775143477
9,2.686149025354591,1.2962836324380766,1.0378410876260662,-0.31263511873789007,0.6856432627049649,0.9514229905560014,-0.8531122096310035,2.486557386820153,1438.0,0.88,18.44,2190.0,260,2450.0,0.72,1150,289.0,-0.8531122096310035,-0.3258012805295941,2.239890288428735,0.7534888982034352
10,-1.2065760035156061,-0.7969107994476263,1.9416691499986514,-0.9028223335802703,-0.9556265289624646,0.43223274146165575,3.466164783127183,-2.1053446601911894,3059.0,0.88,39.22,2870.0,500,3370.0,0.79,1110,282.0,3.466164783127183,1.1590692542981953,1.1130589527183599,0.4122660851133757
11,-0.09581685400256071,2.7024449707843257,0.6149202644671438,-1.1785845921131592,0.6306554317757159,0.2821396549481854,1.1727288900992525,4.018033492161095,2062.0,0.94,24.26,2546.0,350,2896.0,0.75,970,330.0,1.1727288900992525,0.32225696507682633,1.9394019322393017,0.8917714032381329
12,0.642711175516896,-0.07644669567174121,1.05751410744523,-3.05678470632839,-0.5568853856900631,-2.0486747850027878,0.623230212452317,-3.739963964777078,1996.2,0.82,24.95,2133.0,420,2553.0,0.78,1090,342.0,0.623230212452317,0.1512793698704644,-0.6898711844182406,-0.24872268646507875
13,1.1833376680036607,-2.828198775039641,-0.20823007444779446,-2.143694496818729,-0.16271647860418384,-0.0195430934422622,1.265822644219055,0.08922489602569751,1670.0,1.0,18.56,2467.0,340,2807.0,0.76,1360,356.0,1.265822644219055,0.4184126593798793,0.3618380622447763,0.006855266625097323
14,-0.5235358062280902,-2.3098666254461766,-1.9300558825052128,-0.9708898179421254,-1.0161207194114152,-1.343561605726109,-1.8135947574320967,-2.102983952090892,1574.0,1.0,17.69,2117.0,180,2297.0,0.69,960,203.0,-1.8135947574320967,-0.5742618287825374,-0.31426073918144887,-2.0507019234239507
15,0.26295512065875776,-0.21575383956965904,2.9983390012130617,3.3511301062290086,-1.1028068523927255,-0.16960166400750062,-0.9482765997567755,-3.0424381488222974,1310.0,0.93,36.39,1919.0,270,2189.0,0.71,1220,325.0,-0.9482765997567755,-0.0924512417730253,-1.2908478967971073,0.138784318464208
16,-0.024537273043723915,1.0659875828773013,3.114170248648431,0.1562214700951728,1.0230361203872815,-0.7326496926770782,-3.580203110611914,-3.4743724702740866,1765.0,0.96,20.76,1928.0,40,1968.0,0.63,1236,92.0,-3.580203110611914,-0.9528598198687601,0.13647179510270124,-0.650010621291526
17,-1.1100724460499,0.795847685168904,2.7892499102807253,-1.920339624528217,-2.573183359745927,-1.1792788390765612,1.758105007646815,-2.52634809565579,3103.0,0.89,39.28,2451.0,430,2881.0,0.77,970,242.0,1.758105007646815,0.6852890236649508,0.9628147746236431,0.15333215276774428
18,-0.006211404439227872,-2.1313615078881116,0.4528938190362037,0.3480327928016554,-1.9120784596133207,0.8935812830829404,-1.7158674119502682,-1.679586470435998,1561.0,1.0,17.54,1946.0,280,2226.0,0.7,960,203.0,-1.7158674119502682,-0.5438310576830367,-0.8401153625129573,1.3882489826798134
19,0.023257278695219038,2.9838202967446223,-0.9161401676536871,-0.15621917258737936,-3.8687693481718517,1.0786805692484016,0.7669070704035382,0.48218287124328607,1542.0,0.75,23.01,2644.0,350,2994.0,0.76,1090,271.0,0.7669070704035382,0.012853484412760812,-1.8167025201286158,-0.26834971016183884
20,-0.7595900759295026,-2.0959328809523337,-3.9359821719071824,1.4389550260989785,0.9850588091000725,-0.5073194779177839,-0.8096493462724365,2.7396180922053714,536.0,0.93,23.3,2000.0,420,2420.0,0.73,1000,279.0,-0.8096493462724365,-0.3795786706970597,0.8125705965289264,2.5710254810136983
21,-0.26955450880259363,-1.5902871255226478,1.1506299241815994,-2.649064330057872,-0.6546072226391958,-0.921719351972454,1.9595019504816868,0.5532891834711041,2169.0,0.81,30.12,2451.0,500,2951.0,0.8,1150,297.0,1.9595019504816868,0.5506089906002716,-0.31426073918144887,-0.12830370578111813
22,1.602508150069604,-2.9640383347776744,3.8992218106434944,-1.3645993755937942,0.7707332919352621,0.8037252649995528,-0.18750629642757674,0.538177315497411,1343.0,0.97,15.44,2187.0,350,2537.0,0.74,1290,264.0,-0.18750629642757674,-0.09978214106585509,-0.8401153625129573,2.2690422356310176
23,0.6726695779666075,1.2565658591558413,-2.69568866565349,-0.507442789021819,0.2674442590587824,-4.453249291072179,0.1226925588882515,-1.5363702131511747,2322.0,0.99,26.09,2509.0,270,2779.0,0.72,790,205.0,0.1226925588882515,0.027486610952088347,-0.764993273465599,-0.8361485405529193
24,1.5275382619595812,-0.5071157464609303,-3.0979416276247083,-3.500997276989389,-0.8462492569297244,-0.7262825204624659,1.7253864363876774,1.4489631142881172,1699.0,0.96,19.76,2649.0,500,3149.0,0.8,780,194.0,1.7253864363876774,0.2591996574296183,-0.20908981451514674,0.5149317065691429
