Feature,Importance,AbsImportance
Game5_LifeSum_Score,0.36191374654655106,0.36191374654655106
Arm_MDF_EMG,0.3395455658664829,0.3395455658664829
Neck_iEMG_EMG,0.30553655131204116,0.30553655131204116
fixation_count_Eye,0.2961373144800856,0.2961373144800856
saccade_count_Eye,0.2961373144800856,0.2961373144800856
sampling_rate_est_Eye,0.27419636232794836,0.27419636232794836
Neck_Max_Amp_EMG,0.24227875395910609,0.24227875395910609
SDNN_ms_ECG,0.23034633076939245,0.23034633076939245
avg_pupil_R_Eye,0.2195478768550598,0.2195478768550598
Mean_RR_ms_ECG,0.21850853955993427,0.21850853955993427
外向性_Psy,0.21541817748422132,0.21541817748422132
blink_freq_Eye,0.21539470157888235,0.21539470157888235
宜人性_Psy,0.20713342111486588,0.20713342111486588
开放性_Psy,0.20212596815428546,0.20212596815428546
神经质_Psy,0.20158753239483634,0.20158753239483634
blink_count_Eye,0.1883902695957523,0.1883902695957523
fixation_freq_Eye,0.1868687314967943,0.1868687314967943
Pre_DBP_BPHR,0.18317341710978388,0.18317341710978388
Resp_Change_Rate_ECG,0.1735624829760177,0.1735624829760177
HR_Mean_ECG,0.16281084296294546,0.16281084296294546
Resp_Mean_ECG,0.16134065940689576,0.16134065940689576
尽责性_Psy,0.15250009984926172,0.15250009984926172
Pre_SBP_BPHR,0.14610493429783608,0.14610493429783608
Neck_RMS_EMG,0.11983955206482691,0.11983955206482691
pNN50_pct_ECG,0.11697297817118874,0.11697297817118874
duration_sec_Eye,0.10971891544337319,0.10971891544337319
avg_saccade_amp_deg_Eye,0.07614981606695934,0.07614981606695934
avg_blink_dur_ms_Eye,0.04078677050512493,0.04078677050512493
Arm_RMS_EMG,0.03906492195655644,0.03906492195655644
gaze_pitch_std_Eye,0.03888343609721884,0.03888343609721884
求精_Psy,0.030829057265929945,0.030829057265929945
力量_Psy,0.029731659736391077,0.029731659736391077
short_blink_count_Eye,0.028506369819072293,0.028506369819072293
Arm_MPF_EMG,0.011015113732721977,0.011015113732721977
主动_Psy,0.0015273758794152755,0.0015273758794152755
